"province","quarter","number","key","text"
"Sud Kivu",1,689300,"idp-jan-11","689,300"
"Orientale",1,436982,"idp-jan-11","436,982"
"Katanga",1,51485,"idp-jan-11","51,485"
"Equateur",1,,"idp-jan-11",
"Maniema",1,,"idp-jan-11",
"Nord Kivu",1,557023,"idp-jan-11","557,023"
"Sud Kivu",2,444404,"idp-apr-11","444,404"
"Orientale",2,443702,"idp-apr-11","443,702"
"Katanga",2,55247,"idp-apr-11","55,247"
"Equateur",2,25776,"idp-apr-11","25,776"
"Maniema",2,,"idp-apr-11",
"Nord Kivu",2,571685,"idp-apr-11","571,685"
"Sud Kivu",3,518618,"idp-jul-11","518,618"
"Orientale",3,447627,"idp-jul-11","447,627"
"Katanga",3,78714,"idp-jul-11","78,714"
"Equateur",3,12785,"idp-jul-11","12,785"
"Maniema",3,55450,"idp-jul-11","55,450"
"Nord Kivu",3,536299,"idp-jul-11","536,299"
